Br_ID,Phase,Work_Type,Lat,Long,Damage State,Description,Hwy,Hwy Name,MP,DISTRICT,STRUCNAME,Carries,Crosses,DetourLenth_mi,YEARBUILT,LENGTH_ft,ADMINAREA,DESIGNMAIN,MATERIALMAIN
08246S,1,Rehab+,44.29942,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,210.39,04,"Muddy Creek, Hwy 1 SB",I-5 (HWY 1) SB,MUDDY CREEK,0.62,1959,141.00,R2,2 Concrete Continuous,02 Stringer/Girder
08245N,1,Retrofit,44.30715,-123.06056,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,210.92,04,"Little Muddy Creek, Hwy 1 NB",I-5 (HWY 1) NB,LITTLE MUDDY CREEK,0.62,1958,75.00,R2,2 Concrete Continuous,01 Slab
08245S,1,Retrofit,44.30701,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,210.92,04,"Little Muddy Creek, Hwy 1 SB",I-5 (HWY 1) SB,LITTLE MUDDY CREEK,0.62,1958,75.00,R2,2 Concrete Continuous,01 Slab
08241N,1,Retrofit,44.39458,-123.06083,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,216.97,04,"Courtney Creek, Hwy 1 NB",I-5 (HWY 1) NB,COURTNEY CREEK,0.62,1959,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08241S,1,Retrofit,44.39468,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,216.97,04,"Courtney Creek, Hwy 1 SB",I-5 (HWY 1) SB,COURTNEY CREEK,0.62,1959,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08240N,1,Retrofit,44.39799,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,217.2,04,"Courtney Creek Oflow, Hwy 1 NB",I-5 (HWY 1) NB,COURTNEY CREEK OFLOW,1.00,1959,84.00,R2,2 Concrete Continuous,02 Stringer/Girder
08240S,1,Retrofit,44.39799,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,217.2,04,"Courtney Creek Oflow, Hwy 1 SB",I-5 (HWY 1) SB,COURTNEY CREEK OFLOW,1.00,1959,84.00,R2,2 Concrete Continuous,02 Stringer/Girder
08239N,1,Retrofit,44.40067,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,217.39,04,"Sodom Ditch Oflow, Hwy 1 NB",I-5 (HWY 1) NB,SODOM DITCH OFLOW,1.00,1959,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08239S,1,Retrofit,44.40092,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,217.39,04,"Sodom Ditch Oflow, Hwy 1 SB",I-5 (HWY 1) SB,SODOM DITCH OFLOW,1.00,1959,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08238N,1,Retrofit,44.40745,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,217.85,04,"Calapooia Oflow, Hwy 1 NB at MP 217.85",I-5 (HWY 1) NB,CALAPOOIA OFLOW,0.62,1958,75.00,R2,2 Concrete Continuous,01 Slab
08238S,1,Retrofit,44.40745,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,217.85,04,"Calapooia Oflow, Hwy 1 SB at MP 217.85",I-5 (HWY 1) SB,CALAPOOIA OFLOW,0.62,1958,75.00,R2,2 Concrete Continuous,01 Slab
08236N,1,Rehab+,44.42087,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,218.79,04,"Calapooia River, Hwy 1 NB",I-5 (HWY 1) NB,CALAPOOIA RIVER,1.00,1958,153.00,R2,2 Concrete Continuous,02 Stringer/Girder
08236S,1,Rehab+,44.42086,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,218.79,04,"Calapooia River, Hwy 1 SB",I-5 (HWY 1) SB,CALAPOOIA RIVER,1.00,1958,153.00,R2,2 Concrete Continuous,02 Stringer/Girder
08235N,1,Rehab+,44.43904,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,220.04,04,"Calapooia Oflow, Hwy 1 NB at MP 220.04",I-5 (HWY 1) NB,CALAPOOIA OFLOW,1.00,1958,189.00,R2,2 Concrete Continuous,02 Stringer/Girder
08235S,1,Rehab+,44.43956,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,220.04,04,"Calapooia Oflow, Hwy 1 SB at MP 220.04",I-5 (HWY 1) SB,CALAPOOIA OFLOW,1.00,1958,189.00,R2,2 Concrete Continuous,02 Stringer/Girder
08234N,1,Rehab+,44.44388,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,220.37,04,"Sodom Ditch Oflow, Hwy 1 NB",I-5 (HWY 1) NB,SODOM DITCH OFLOW,1.00,1958,117.00,R2,2 Concrete Continuous,02 Stringer/Girder
08234S,1,Rehab+,44.44403,-123.06139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,220.37,04,"Sodom Ditch Oflow, Hwy 1 SB",I-5 (HWY 1) SB,SODOM DITCH OFLOW,1.00,1958,117.00,R2,2 Concrete Continuous,02 Stringer/Girder
08232N,1,Rehab+,44.47349,-123.06111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,222.42,04,"Butte Creek, Hwy 1 NB",I-5 (HWY 1) NB,BUTTE CREEK,1.00,1958,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08232S,1,Rehab+,44.47371,-123.06167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,222.42,04,"Butte Creek, Hwy 1 SB",I-5 (HWY 1) SB,BUTTE CREEK,1.00,1958,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08227N,1,Rehab+,44.59035,-123.06167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,230.48,04,"Oak Creek, Hwy 1 NB",I-5 (HWY 1) NB,OAK CREEK,4.72,1958,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08227S,1,Rehab+,44.59033,-123.06194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,230.48,04,"Oak Creek, Hwy 1 SB",I-5 (HWY 1) SB,OAK CREEK,4.72,1958,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08226N,1,Rehab+,44.59585,-123.06167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,230.86,04,Hwy 1 NB over AERC (Tallman Branch),I-5 (HWY 1) NB,A&E RR,4.72,1958,241.20,R2,2 Concrete Continuous,02 Stringer/Girder
08226S,1,Rehab+,44.59598,-123.06194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,230.86,04,Hwy 1 SB over AERC (Tallman Branch),I-5 (HWY 1) SB,A&E RR,4.72,1958,241.20,R2,2 Concrete Continuous,02 Stringer/Girder
08225N,1,Retrofit,44.60591,-123.06167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,231.55,04,"Albany Ditch, Hwy 1 NB",I-5 (HWY 1) NB,ALBANY DITCH,4.72,1958,78.00,R2,2 Concrete Continuous,01 Slab
08225S,1,Retrofit,44.60592,-123.06194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,231.55,04,"Albany Ditch, Hwy 1 SB",I-5 (HWY 1) SB,ALBANY DITCH,4.72,1958,78.00,R2,2 Concrete Continuous,01 Slab
08222N,1,Rehab+,44.6361,-123.06194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,233.65,04,"Cox Creek, Hwy 1 NB",I-5 (HWY 1) NB,COX CREEK,1.00,1958,76.00,R2,2 Concrete Continuous,02 Stringer/Girder
08222S,1,Rehab+,44.63621,-123.06222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,233.65,04,"Cox Creek, Hwy 1 SB",I-5 (HWY 1) SB,COX CREEK,1.00,1958,76.00,R2,2 Concrete Continuous,02 Stringer/Girder
08221D,1,Retrofit,44.64372,-123.0625,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,234.16,04,Hwy 1 SB over Hwy 58 NB (North Albany Intchg),I-5 (HWY 1) SB,OR 99E (HWY 58) NB,1.00,1958,194.00,R2,2 Concrete Continuous,02 Stringer/Girder
08221B,1,Rehab+,44.64392,-123.06222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,234.16,04,Hwy 1 NB over Hwy 58 NB (North Albany Intchg),I-5 (HWY 1) NB,OR 99E (HWY 058) NB,1.00,1958,212.00,R2,2 Concrete Continuous,02 Stringer/Girder
08221A,1,Rehab+,44.64477,-123.06222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,234.23,04,Hwy 1 NB over Knox Butte Rd (North Albany Intchg),I-5 (HWY 1) NB,KNOX BUTTE ROAD,1.00,1958,125.00,R2,2 Concrete Continuous,02 Stringer/Girder
08221C,1,Rehab+,44.64467,-123.0625,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,234.23,04,Hwy 1 SB over Knox Butte Rd (North Albany Intchg),I-5 (HWY 1) SB,KNOX BUTTE ROAD,1.00,1958,139.00,R2,2 Concrete Continuous,02 Stringer/Girder
08218A,1,Rehab+,44.66541,-123.05861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,235.67,04,Hwy 1 NB over Murder Creek Rd,I-5 (HWY 1) NB,MURDER CREEK ROAD,1.00,1958,131.00,R2,2 Concrete Continuous,02 Stringer/Girder
08218B,1,Rehab+,44.66546,-123.05889,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,235.67,04,Hwy 1 SB over Murder Creek Rd,I-5 (HWY 1) SB,MURDER CREEK ROAD,1.00,1958,131.00,R2,2 Concrete Continuous,02 Stringer/Girder
08217,1,Retrofit,44.66607,-123.05889,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,235.71,04,"Murder Creek, Hwy 1 SB",I-5 (HWY 1) SB,MURDER CREEK,1.00,1958,126.00,R2,2 Concrete Continuous,02 Stringer/Girder
08124,1,Rehab+,44.73343,-123.05306,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,240.42,04,"Santiam Oflow No 4, Hwy 1 SB at MP 240.42",I-5 (HWY 1) SB,SANTIAM OFLOW NO. 4,1.80,1958,170.00,R2,2 Concrete Continuous,02 Stringer/Girder
08123D,1,Retrofit,44.73738,-123.05306,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,240.66,04,"Santiam River, Hwy 1 SB",I-5 (HWY 1) SB,SANTIAM RIVER,1.60,1991,859.99,R2,6 P/S Conc Continuous,05 Multiple Box Beam
08122,1,Rehab+,44.74352,-123.05222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,241.12,04,"Santiam Oflow No 3, Hwy 1 SB at MP 241.12",I-5 (HWY 1) SB,SANTIAM OFLOW NO. 3,1.00,1958,108.00,R2,2 Concrete Continuous,02 Stringer/Girder
17352,1,Rehab+,44.74349,-123.05167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,241.12,04,"Santiam Oflow No 3, Hwy 1 NB at MP 241.12",I-5 (HWY 1) NB,SANTIAM OFLOW NO. 3,1.80,1994,108.00,R2,2 Concrete Continuous,02 Stringer/Girder
08121,1,Rehab+,44.74687,-123.05194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,241.35,04,"Santiam Oflow No 2, Hwy 1 SB at MP 241.35",I-5 (HWY 1) SB,SANTIAM OFLOW NO. 2,1.80,1958,234.00,R2,2 Concrete Continuous,02 Stringer/Girder
17351,1,Rehab+,44.74674,-123.05139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,241.35,04,"Santiam Oflow No  2, Hwy 1 NB at MP 241.35",I-5 (HWY 1) NB,SANTIAM OFLOW NO. 2,1.80,1994,234.00,R2,2 Concrete Continuous,02 Stringer/Girder
08363,1,Retrofit,44.75175,-123.05167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,241.66,04,"Santiam Oflow No 1, Hwy 1 Frtg Rd",I-5 (HWY 1) FR. RD,SANTIAM OFLOW 1 ,1.80,1958,117.00,R2,2 Concrete Continuous,02 Stringer/Girder
16161,1,Retrofit,44.8562,-123.01167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,249.35,03,Hwy 1 NB over Hwy 1E NB (Commercial St SE),I-5 (HWY 1) NB,COMMERCIAL STREET SE,1.00,1981,164.00,R2,2 Concrete Continuous,02 Stringer/Girder
07524B,1,Rehab+,44.8565,-123.01222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,249.38,03,Hwy 1 SB over Hwy 1E NB (Commercial St SE),I-5 (HWY 1) SB,HWY 1E,1.00,1954,140.00,R2,2 Concrete Continuous,02 Stringer/Girder
07854C,1,Rehab+,44.99014,-122.99806,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,259.1,03,Hwy 1 over UPRR Main Line,I-5 (HWY 1),UPRR,0.00,1975,187.00,R2,6 P/S Conc Continuous,02 Stringer/Girder
07855C,1,Retrofit,45.00195,-122.99806,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,259.95,03,Hwy 1 NB over Hwy 72 NB,I-5 (HWY 1) NB,HWY 72,1.00,1975,416.99,R2,6 P/S Conc Continuous,05 Multiple Box Beam
07855D,1,Retrofit,45.00184,-122.99861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,259.95,03,Hwy 1 SB over Hwy 72 NB,I-5 (HWY 1) SB,HWY 72,1.00,1975,361.00,R2,6 P/S Conc Continuous,05 Multiple Box Beam
16086,1,Retrofit,45.01808,-122.98944,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,261.12,03,"Labish Bottom, Hwy 1 NB",I-5 (HWY 1) NB,LABISH BOTTOM,6.40,1975,365.00,R2,2 Concrete Continuous,01 Slab
16086A,1,Retrofit,45.01828,-122.98972,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,261.12,03,"Labish Bottom, Hwy 1 SB",I-5 (HWY 1) SB,LABISH BOTTOM,6.40,1975,390.00,R2,2 Concrete Continuous,01 Slab
07799A,1,Retrofit,45.20551,-122.82833,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,276.4,03,Hwy 1 NB over Fellers Road NE,I-5 (HWY 1) NB,FELLERS ROAD,1.00,1955,110.00,R2,2 Concrete Continuous,01 Slab
07799B,1,Retrofit,45.2056,-122.82889,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,276.4,03,Hwy 1 SB over Fellers Road NE,I-5 (HWY 1) SB,FELLERS ROAD,1.00,1955,110.00,R2,2 Concrete Continuous,01 Slab
07796A,1,Retrofit,45.23469,-122.80722,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,278.67,03,Hwy 1 NB over Ehlen Road NE,I-5 (HWY 1) NB,EHLEN ROAD,1.00,1955,110.00,R2,2 Concrete Continuous,01 Slab
07796B,1,Retrofit,45.23454,-122.80667,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,278.67,03,Hwy 1 SB over Ehlen Road NE,I-5 (HWY 1) SB,EHLEN ROAD,1.00,1955,110.00,R2,2 Concrete Continuous,01 Slab
07795A,1,Retrofit,45.25961,-122.78667,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,280.67,03,Hwy 1 NB over Arndt Road NE,I-5 (HWY 1) NB,ARNDT ROAD,1.00,1955,120.00,R2,2 Concrete Continuous,01 Slab
07795B,1,Retrofit,45.25953,-122.78611,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,280.67,03,Hwy 1 SB over Arndt Road NE,I-5 (HWY 1) SB,ARNDT ROAD,1.00,1955,120.00,R2,2 Concrete Continuous,01 Slab
02254A,1,Retrofit,45.29175,-122.76917,DS3,Seismically Vulnerable,001,Pacific Hwy,283.11,22,"Willamette River, Hwy 1 (Boone Bridge)",I-5 (HWY 001),WILLAMETTE RIVER,12.70,1953,1136.74,R1,3 Steel,03 Girder-Floorbeam
09743C,1,Retrofit,45.36807,-122.75639,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,288.48,22,Hwy 1 NB Conn to Hwy 64 NB over Hwy 1 SB Conn,I-5 NB TO I-205 NB,I-5 SB CONN TO I-205 NB,3.00,1969,235.00,R1,4 Steel Continuous,07 Frame
09743,1,Retrofit,45.36862,-122.75778,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,288.51,22,Hwy 1 NB over Hwy 1 SB Conn to Hwy 64 NB,I-5 (HWY 001) NB,I-5 SB CONN TO I-205 NB,2.00,1969,213.00,R1,4 Steel Continuous,07 Frame
09743A,1,Retrofit,45.3689,-122.75806,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,288.51,22,Hwy 1 SB over Hwy 1 SB Conn to Hwy 64 NB,I-5 (HWY 001) SB,I-5 SB CONN TO I-205 NB,1.00,1969,226.00,R1,4 Steel Continuous,07 Frame
08328,3,Rehab+,45.50767,-122.66917,DS3,Seismically Vulnerable,001,Pacific Hwy,300.38,22,"Willamette River, Hwy 1 (Marquam)",I-5 (HWY 001),WILLAMETTE RIVER MARQUAM,6.00,1966,1043.99,R1,3 Steel,09 Truss-Deck
08590D,3,Retrofit,45.51242,-122.6675,DS3,Seismically Vulnerable,001,Pacific Hwy,300.68,22,Hwy 1 NB over Hawthorne Br Ramps (E Marquam Int),I-5 (HWY 001) NB,MARQUAM BRIDGE RAMP,6.00,1966,2318.97,R1,3 Steel,02 Stringer/Girder
08590C,3,Rehab+,45.51244,-122.66778,DS3,Seismically Vulnerable,001,Pacific Hwy,300.69,22,Hwy 1 SB over Marquam Bridge Ramp,I-5 (HWY 001) SB,MARQUAM BRIDGE RAMP,6.00,1966,2357.97,R1,3 Steel,02 Stringer/Girder
08588D,3,Retrofit,45.52405,-122.66472,DS3,Seismically Vulnerable,001,Pacific Hwy,301.5,22,Hwy 1 NB Conn to Hwy 2 EB over UPRR (Banfield Int),HY 1 NB TO HY 2,UPRR & CONN 6,2.00,1963,1563.98,R1,3 Steel,02 Stringer/Girder
N8588E,3,Retrofit,45.52694,-122.665,DS3,Seismically Vulnerable,001,Pacific Hwy,301.7,22,Hwy 1 NB over UPRR,I-5 (HWY 001) NB,UPRR,2.00,1963,2251.05,R1,3 Steel,02 Stringer/Girder
S8588E,3,Retrofit,45.52694,-122.66528,DS3,Seismically Vulnerable,001,Pacific Hwy,301.7,22,Hwy 1 SB over UPRR,I-5 (HWY 001) SB,UPRR,2.00,1963,2251.05,R1,3 Steel,02 Stringer/Girder
08583,3,Rehab+,45.53041,-122.665,DS4,Seismically Vulnerable,001,Pacific Hwy,301.99,22,Hwy 1 over NE Hassalo St & NE Holladay St,I-5 (HWY 001),HASSALO & HOLLADAY,2.00,1963,436.99,R1,5 Prestressed Concrete,02 Stringer/Girder
08589A,3,Rehab+,45.51759,-122.66639,DS3,Seismically Vulnerable,001,Pacific Hwy,302.2,22,Hwy 1 SB to Belmont St over Hwy 1 (Morrison Int),HWY 1 TO BELMONT,HWY 1  I-5,1.00,1963,1441.98,R1,3 Steel,02 Stringer/Girder
08782A,3,Retrofit,45.53912,-122.67,DS3,Seismically Vulnerable,001,Pacific Hwy,302.65,22,"Elliot School Viaduct, Hwy 1",I-5 (HWY 001),ELLIOT SCHOOL VIADUCT,6.00,1963,504.99,R1,5 Prestressed Concrete,02 Stringer/Girder
N8958A,3,Rehab+,45.54284,-122.67389,DS3,Seismically Vulnerable,001,Pacific Hwy,302.99,22,"Fremont Viaduct, Hwy 1 NB",I-5 (HWY 001) NB,FREMONT VIADUCT,1.00,1963,1996.98,R1,3 Steel,02 Stringer/Girder
S8958A,3,Rehab+,45.54284,-122.67389,DS3,Seismically Vulnerable,001,Pacific Hwy,302.99,22,"Fremont Viaduct, Hwy 1 SB",I-5 (HWY 001) SB,FREMONT VIADUCT,1.00,1963,2011.98,R1,3 Steel,02 Stringer/Girder
08958E,3,Rehab+,45.54363,-122.67556,DS3,Seismically Vulnerable,001,Pacific Hwy,303.06,22,Hwy 1 NB to Hwy 61 SB over Conn (E Fremont Intchg),I-5 (HWY 001) CON,I-5 NB TO I-405 SB,6.00,1973,2456.97,R1,4 Steel Continuous,05 Multiple Box Beam
08882,2,Retrofit,45.58413,-122.67917,DS4,Seismically Vulnerable,001,Pacific Hwy,305.92,22,Hwy 1 over N Columbia Blvd & UPRR,I-5 (HWY 001),COL BLVD & UPRR,1.16,1964,637.99,R1,5 Prestressed Concrete,02 Stringer/Girder
08883,2,Retrofit,45.58871,-122.68111,DS4,Seismically Vulnerable,001,Pacific Hwy,306.27,22,"Columbia Slough & Hwy 1 Conn, Hwy 1",I-5 (HWY 001),COL SLOUGH & HWY 1 CONN,1.16,1964,1238.98,R1,6 P/S Conc Continuous,02 Stringer/Girder
09316A,2,Retrofit,45.59496,-122.68389,DS5,Seismically Vulnerable,001,Pacific Hwy,306.7,22,Hwy 1 over N Victory Blvd,I-5 (HWY 001),VICTORY BLVD,1.16,1964,196.00,R1,5 Prestressed Concrete,02 Stringer/Girder
16526,2,Retrofit,45.60767,-122.68139,DS4,Seismically Vulnerable,001,Pacific Hwy,307.59,22,"Oregon Slough & N Jantzen Dr, Hwy 1 & 120",I-5 (HWY 001),OREGON SLOUGH,1.00,1987,1325.09,R1,5 Prestressed Concrete,02 Stringer/Girder
08588C,3,Rehab+,45.52555,-122.66556,DS3,Seismically Vulnerable,002,Columbia River Hwy,0.23,22,Hwy1 SB to Hwy2 EB over Hwy1 & Conn (Banfield Int),HY 1 SB TO HY 2 EB,HWY 1  I-5,2.00,1963,1826.98,R1,3 Steel,02 Stringer/Girder
08588A,3,Rehab+,45.5265,-122.66417,DS3,Seismically Vulnerable,002,Columbia River Hwy,0.24,22,Hwy 2 WB to Hwy 1 NB over UPRR (Banfield Intchg),HY 2 WB TO HY 1 NB,UPRR,2.00,1963,1523.98,R1,3 Steel,02 Stringer/Girder
H8588A,3,Retrofit,45.52698,-122.66444,DS3,Seismically Vulnerable,002,Columbia River Hwy,0.33,22,Hwy 2 WB Conn to Hwy 1 NB over Lloyd Blvd.,I-84 (HWY 002) CON,CITY STREET,1.00,1963,640.33,R1,3 Steel,02 Stringer/Girder
08588B,3,Rehab+,45.52429,-122.66528,DS3,Seismically Vulnerable,002,Columbia River Hwy,0.52,22,Hwy 2 WB to Hwy 1 SB over Hwy 1 (Banfield Intchg),WB CON TO HWY 1 SB,HWY 1,1.00,1963,1418.98,R1,3 Steel,02 Stringer/Girder
13514F,1,Retrofit,45.54751,-122.55417,DS3,Seismically Vulnerable,002,Columbia River Hwy,6.94,22,Hwy 2 WB over Hwy 2 WB Conns to Hwy 64,I-84 (HWY 002) WB,HWY 64 CONNS,3.00,1979,508.99,R1,6 P/S Conc Continuous,05 Multiple Box Beam
07043A,1,Retrofit,45.54646,-122.53722,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,10.08,22,Hwy 2 over NE 122nd Ave,I-84 (HWY 002),122ND AVE,2.00,1990,171.50,R1,5 Prestressed Concrete,02 Stringer/Girder
07044A,1,Retrofit,45.54269,-122.51,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,11.43,22,Hwy 2 over NE 148th Ave,I-84 (HWY 002),148TH AVE,0.00,1990,172.00,R1,2 Concrete Continuous,05 Multiple Box Beam
07088A,1,Retrofit,45.54225,-122.49556,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,12.13,22,Hwy 2 over NE 162nd Ave,I-84 (HWY 002),162ND AVE,0.00,1990,135.00,R1,5 Prestressed Concrete,05 Multiple Box Beam
07089A,1,Rehab+,45.5414,-122.47722,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,13.03,22,Hwy 2 over NE 181st Ave,I-84 (HWY 002),181ST AVE,0.00,1992,132.00,R1,5 Prestressed Concrete,02 Stringer/Girder
07046A,1,Rehab+,45.5452,-122.39083,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,17.37,22,Hwy 2 WB over NW Graham Rd,I-84 (HWY 002) WB,NW GRAHAM RD,3.00,1958,116.00,R1,2 Concrete Continuous,02 Stringer/Girder
07046,1,Reconstruct,45.54492,-122.39056,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,17.37,22,Hwy 2 EB over NW Graham Rd,I-84 (HWY 002) EB,NW GRAHAM RD,2.00,1948,106.00,R1,2 Concrete Continuous,02 Stringer/Girder
06945,1,Reconstruct,45.54439,-122.38139,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,17.82,23,Hwy 2 EB over Conn #2 (Jordan Rd),I-84 (HWY 002) EB,CONN 2 JORDAN RD,0.00,1946,31.42,R1,1 Concrete,07 Frame
06945A,1,Reconstruct,45.54464,-122.38139,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,17.82,23,Hwy 2 WB over Conn #2 (Jordan Rd),I-84 (HWY 002) WB,CONN 2 JORDAN ROAD,0.00,1946,33.58,R1,1 Concrete,07 Frame
02176A,1,Rehab+,45.60061,-122.04722,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,35.12,23,Hwy 2 EB over Hwy 100 & UPRR (Dodson),I-84 (HWY 002) EB,HWY 100 & UPRR,1.00,1960,629.99,R1,4 Steel Continuous,02 Stringer/Girder
02176,1,Reconstruct,45.60072,-122.04722,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,35.12,23,Hwy 2 WB over Hwy 100 & UPRR (Dodson),I-84 (HWY 002) WB,HWY 100 & UPRR,1.00,1949,561.99,R1,4 Steel Continuous,02 Stringer/Girder
08692,1,Retrofit,45.61282,-122.01083,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,37.12,23,Hwy 2 over Conn to Warrendale,I-84 (HWY 002),CONN TO WARRENDALE,0.00,1961,139.00,R4,5 Prestressed Concrete,02 Stringer/Girder
02193B,1,Retrofit,45.61461,-121.99722,DS3,Seismically Vulnerable,002,Columbia River Hwy,37.83,23,"McCord Creek, Hwy 2 EB",I-84 (HWY 002) EB,MCCORD CREEK,1.00,1962,381.00,R4,5 Prestressed Concrete,02 Stringer/Girder
02194A,1,Reconstruct,45.62364,-121.9775,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,38.98,23,"Moffett Creek, Hwy 2 WB",I-84 (HWY 002) WB,MOFFETT CREEK,0.00,1950,260.00,R4,2 Concrete Continuous,02 Stringer/Girder
02062B,1,Retrofit,45.63144,-121.95639,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,40.14,23,"Tanner Creek, Hwy 2 EB",I-84 (HWY 002) EB,TANNER CREEK,1.00,1962,438.99,R4,2 Concrete Continuous,05 Multiple Box Beam
02062A,1,Rehab+,45.63157,-121.95639,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,40.14,23,"Tanner Creek, Hwy 2 WB",I-84 (HWY 002) WB,TANNER CREEK,1.00,1950,424.99,R4,2 Concrete Continuous,02 Stringer/Girder
06924,1,Retrofit,45.63224,-121.95389,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,40.27,23,Hwy 2 over Bonneville Dam Conn,I-84 (HWY 002),BONNEVILLE DAM CON,0.00,1951,33.00,R4,1 Concrete,07 Frame
09382,1,Rehab+,45.64056,-121.93167,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,41.31,23,"Eagle Creek Viaduct, Hwy 2 WB",I-84 (HWY 002) WB,EAGLE CREEK VIADUCT,1.00,1969,2751.97,R4,4 Steel Continuous,02 Stringer/Girder
02063,1,Rehab+,45.64036,-121.93083,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,41.55,23,"Eagle Creek, Hwy 2 EB",I-84 (HWY 002) EB,EAGLE CREEK,1.00,1969,465.99,R4,4 Steel Continuous,02 Stringer/Girder
09377,1,Rehab+,45.64445,-121.92444,DS2,Potentially Seismically Vulnerable,002,Columbia River Hwy,41.96,23,"Ruckel Creek & UPRR, Hwy 2",I-84 (HWY 002),UPRR & RUCKEL CREEK,1.00,1969,922.99,R4,4 Steel Continuous,02 Stringer/Girder
