Institution_Id	Institution_Name	Enrollment2010	Enrollment2011	Enrollment2012	Enrollment2013	Private2010	Private2011	Private2012	Private2013	Public2010	Public2011	Public2012	public2013	Private2010PerStudent	Private2011PerStudent	Private2012PerStudent	Private2013PerStudent	Public2010PerStudent	Public2011PerStudent	Public2012PerStudent	Public2013PerStudent	publicAverage	privateAverage
2084	Fern Ridge SD 28J	1636	1619	1489	1503	14700	21100	30848.4	33281.08	6259728.97	6181552.45	6805552.9	7155804.66	8.99	13.03	20.72	22.14	3826.24	3818.13	4570.55	4761.01	4243.98	16.22
2244	Sherwood SD 88J	4874	4959	5018	5116	353072.82	312594.57	186625.59	207519.1	18772125.4	19921164.47	21032090.59	24268188.31	72.44	63.04	37.19	40.56	3851.48	4017.17	4191.33	4743.59	4200.89	53.31
2240	Banks SD 13	1152	1138	1128	1139	32461.14	55994.46	36549.74	84108.23	4053191.06	4478833.35	5143196.37	5366703.52	28.18	49.20	32.40	73.84	3518.40	3935.71	4559.57	4711.77	4181.36	45.91
1936	Warrenton-Hammond SD 30	894	849	892	883	28218	27645	38394.15	24850	3241240.55	4110030.53	3349758.19	3932093.04	31.56	32.56	43.04	28.14	3625.55	4841.03	3755.33	4453.11	4168.75	33.83
1933	Astoria SD 1	1937	1914	1910	1910	94068.47	150352.67	137533.91	245027.14	7199541.11	7428963.91	7105622.61	9040495.85	48.56	78.55	72.01	128.29	3716.85	3881.38	3720.22	4733.24	4012.92	81.85
1969	Bandon SD 54	742	741	713	731	101262.03	133717.85	116316.3	171146	2523160.59	2773981.33	2840961.67	3337161.82	136.47	180.46	163.14	234.13	3400.49	3743.56	3984.52	4565.20	3923.44	178.55
1974	Brookings-Harbor SD 17C	1631	1608	1594	1613	#N/A	#N/A	71528	42113.61	#N/A	#N/A	5763473.67	6714479.14	#N/A	#N/A	44.87	26.11	#N/A	#N/A	3615.73	4162.73	3889.23	35.49
1944	Scappoose SD 1J	2254	2305	2287	2296	49918.1	87876.45	2414	2433.46	7727393.38	8067976.55	9384571.42	10030708.58	22.15	38.12	1.06	1.06	3428.30	3500.21	4103.44	4368.78	3850.18	15.60
1922	West Linn-Wilsonville SD 3J	8422	8479	8687	9061	10442.19	161531.84	162637.45	185510.76	28563211.44	31297056.89	33353738.11	40379431.4	1.24	19.05	18.72	20.47	3391.50	3691.13	3839.50	4456.40	3844.63	14.87
2104	Santiam Canyon SD 129J	595	545	535	549	85211.89	87370.47	4295.64	118208.63	1834886.72	2006961.66	2717405.74	1708034.91	143.21	160.31	8.03	215.32	3083.84	3682.50	5079.26	3111.17	3739.19	131.72
2082	Eugene SD 4J	17436	17102	17012	16866	611822.94	552391.09	482273.31	502748.25	58592724.36	59841232.09	61432709.2	70162786.8	35.09	32.30	28.35	29.81	3360.45	3499.08	3611.14	4160.01	3657.67	31.39
1901	Corvallis SD 509J	6539	6391	6425	6467	522241.93	464788	461790.8	524465.62	21509888.55	21392277	20961214.43	27215081.58	79.87	72.73	71.87	81.10	3289.48	3347.25	3262.45	4208.30	3526.87	76.39
2242	Tigard-Tualatin SD 23J	12688	12691	12641	12718	1574487.08	1629094.06	1767375.25	1769169.96	40368722.52	43213711.41	44395972.89	50896555.87	124.09	128.37	139.81	139.11	3181.65	3405.07	3512.06	4001.93	3525.18	132.84
2181	Parkrose SD 3	3435	3476	3386	3339	4000	259489.14	252892.43	280756.67	11201018.08	11532384.55	12178538.79	13050145.13	1.16	74.65	74.69	84.08	3260.85	3317.72	3596.73	3908.40	3520.92	58.65
2180	Portland SD 1J	45718	46190	46581	47111	4499659	3383033	5250442	3846930	139228651	149030732	151369290	184689998	98.42	73.24	112.72	81.66	3045.38	3226.47	3249.59	3920.32	3360.44	91.51
1972	Central Curry SD 1	555	518	503	468	29112.6	38782	54274.1	65818.85	1662455.66	1830963.07	1488967.42	1828072.55	52.46	74.87	107.90	140.64	2995.42	3534.68	2960.17	3906.14	3349.10	93.97
1945	Clatskanie SD 6J	799	778	729	702	52291.78	44809.59	33483.34	39900.21	2312475.67	2225944.02	2461044.01	2745187.57	65.45	57.60	45.93	56.84	2894.21	2861.11	3375.92	3910.52	3260.44	56.45
1992	Glide SD 12	668	655	638	645	9000.14	12574.5	5302.11	14455.7	2438921.22	2086969.6	1970053.14	1894490.53	13.47	19.20	8.31	22.41	3651.08	3186.21	3087.86	2937.19	3215.59	15.85
1976	Bend-LaPine Administrative SD 1	16157	16275	16575	16827	236932	388221	322795	612877	45173206	50338763	52642791	62690245	14.66	23.85	19.47	36.42	2795.89	3093.01	3176.04	3725.57	3197.63	23.60
2041	Ashland SD 5	2804	2809	2808	2814	365655.27	405559.12	348114.38	310559.98	7874290.55	7791723.27	7812049.93	8435434.4	130.40	144.38	123.97	110.36	2808.23	2773.84	2782.07	2997.67	2840.45	127.28
1923	Lake Oswego SD 7J	6738	6766	6812	6878	1580366.3	2695112.15	2251911.04	2077122.57	15265033.54	18613718.7	17566905.85	22294070.14	234.55	398.33	330.58	302.00	2265.51	2751.07	2578.82	3241.36	2709.19	316.36
2197	Tillamook SD 9	1965	1965	1961	1940	244116	84782.71	89954.86	9553.87	4382337.29	4413187.71	2390607.66	4099192.25	124.23	43.15	45.87	4.92	2230.20	2245.90	1219.08	2112.99	1952.04	54.54
2188	Riverdale SD 51J	567	574	562	586	785700	842181.29	839431.39	916869.44	1426196.04	1415464.69	1097335.88	186632.03	1385.71	1467.21	1493.65	1564.62	2515.34	2465.97	1952.55	318.48	1813.09	1477.80
2097	Lincoln County SD	5181	5083	5259	5182	32920.48	136511.18	31893.84	66284.51	6759789.78	7350908.55	8388446.67	9423692.91	6.35	26.86	6.06	12.79	1304.73	1446.18	1595.06	1818.54	1541.13	13.02
1978	Sisters SD 6	1302	1211	1144	1142	363217.33	333518.04	219097.26	402235.4	2279074.94	1827874.93	1215536.62	1691151.56	278.97	275.41	191.52	352.22	1750.44	1509.39	1062.53	1480.87	1450.81	274.53
2005	Arlington SD 3	117	131	149	154	2682	51299.27	40920.86	46164.33	9320.39	42826.64	-569	80.47	22.92	391.60	274.64	299.77	79.66	326.92	-3.82	0.52	135.70	247.23
1934	Jewell SD 8	161	145	155	142	#N/A	1005	2841.49	2712.34	#N/A	0	0	10395.25	#N/A	6.93	18.33	19.10	#N/A	0.00	0.00	73.21	73.21	14.79
2199	Nestucca Valley SD 101J	537	526	499	455	4605.5	14098	1118.09	4602	32075.2	30190.47	33484.72	35551.17	8.58	26.80	2.24	10.11	59.73	57.40	67.10	78.13	65.59	11.93
