incident,product,year,railroad,product_name,damages,gallons
I-1978020478,UN1230,1978,ATCHESON TOPEKA & SANTA FE RY,METHANOL,0,10699.0
I-1978020480,NA1993,1978,PORTLAND TERMINAL COMPANY,FUEL OIL  NO. 1  2  4  5  OR 6,0,10335.0
I-1978020597,UN1830,1978,BELT RAILWAY CO OF CHICAGO,SULFURIC ACID,0,11000.0
I-1978020600,UN1075,1978,LOUISIANA & ARKANSAS RY CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,31416.0
I-1978020880,UN1040,1978,CHESAPEAKE & OHIO RWY CO,ETHYLENE OXIDE OR ETHYLENE OXIDE WITH NITROGEN UP TO A TOTAL PRESSURE OF 1MPA (10 BAR) AT 50 DEGREES C,0,22000.0
I-1978020881,UN1671,1978,CHESAPEAKE & OHIO RWY CO,PHENOL  SOLID,0,22000.0
I-1978020882,UN1303,1978,CHESAPEAKE & OHIO RWY CO,VINYLIDENE CHLORIDE  STABILIZED,0,22000.0
I-1978020883,UN1303,1978,CHESAPEAKE & OHIO RWY CO,VINYLIDENE CHLORIDE  STABILIZED,0,18000.0
I-1978020884,UN1123,1978,CHESAPEAKE & OHIO RWY CO,BUTYL ACETATES,0,10295.0
I-1978020885,UN1093,1978,CHESAPEAKE & OHIO RWY CO,ACRYLONITRILE  STABILIZED,0,28704.0
I-1978020886,UN1075,1978,CHESAPEAKE & OHIO RWY CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,31528.0
I-1978020887,UN1648,1978,CHESAPEAKE & OHIO RWY CO,METHYL CYANIDE,0,16950.0
I-1978020888,UN1648,1978,CHESAPEAKE & OHIO RWY CO,METHYL CYANIDE,0,7359.0
I-1978020889,UN1648,1978,CHESAPEAKE & OHIO RWY CO,METHYL CYANIDE,0,29547.0
I-1978020891,UN1814,1978,NORFOLK & WESTERN RAILWAY CO,POTASSIUM HYDROXIDE  SOLUTION,0,1378.0
I-1978030008,UN1789,1977,MISSOURI PACIFIC RAILROAD CO,HYDROCHLORIC ACID  SOLUTION,0,20424.0
I-1978030009,NA1993,1977,MISSOURI PACIFIC RAILROAD CO,COMBUSTIBLE LIQUID  N.O.S.,0,20943.0
I-1978030010,NA1993,1977,MISSOURI PACIFIC RAILROAD CO,COMBUSTIBLE LIQUID  N.O.S.,0,20976.0
I-1978030011,UN1593,1977,MISSOURI PACIFIC RAILROAD CO,DICHLOROMETHANE,0,8284.0
I-1978030012,UN1789,1977,MISSOURI PACIFIC RAILROAD CO,HYDROCHLORIC ACID  SOLUTION,0,18943.0
I-1978030013,NA1993,1977,MISSOURI PACIFIC RAILROAD CO,COMBUSTIBLE LIQUID  N.O.S.,0,10333.0
I-1978030100,UN1075,1978,ILLINOIS CENTRAL GULF RAILROAD,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,30929.0
I-1978030101,UN1719,1978,ILLINOIS CENTRAL GULF RAILROAD,CAUSTIC ALKALI LIQUIDS  N.O.S.,0,40000.0
I-1978030331,UN1175,1978,CHICAGO MILW ST PAUL & PAC RR,ETHYLBENZENE,0,10217.0
I-1978030342,UN1805,1978,SEABOARD COAST LINE RAILROAD,PHOSPHORIC ACID SOLUTION,0,14819.0
I-1978030716,UN1075,1978,LOUISVILLE & NASHVILLE RR,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,30161.0
I-1978030956,UN1123,1978,ATCHESON TOPEKA & SANTA FE RY,BUTYL ACETATES,0,20221.0
I-1978030957,UN1987,1978,ATCHESON TOPEKA & SANTA FE RY,ALCOHOLS  N.O.S.,0,20425.0
I-1978030958,UN1171,1978,ATCHESON TOPEKA & SANTA FE RY,ETHYLENE GLYCOL MONOETHYL ETHER ('CELLOSOLVE'),0,22980.0
I-1978030959,UN2055,1978,ATCHESON TOPEKA & SANTA FE RY,STYRENE MONOMER  STABILIZED,0,23361.0
I-1978031247,UN1381,1978,BALTIMORE & OHIO RR CO.,PHOSPHORUS WHITE OR YELLOW  DRY,0,7000.0
I-1978031250,NA1136,1978,LOUISVILLE & NASHVILLE RR,COAL TAR LIGHT OIL,0,20000.0
I-1978040007,UN1760,1978,CHICAGO ROCK ISLAND PAC RR CO,CORROSIVE LIQUIDS  N.O.S.,0,2000.0
I-1978040012,UN1255,1978,ILLINOIS TERMINAL RAILROAD CO,NAPHTHA  PETROLEUM,0,6357.0
I-1978040320,NA1993,1978,CONSOLIDATED RAIL CORP(CONRAIL,COMBUSTIBLE LIQUID  N.O.S.,0,10000.0
I-1978040324,UN1987,1978,ILLINOIS CENTRAL GULF RAILROAD,ALCOHOLS  N.O.S.,0,23071.0
I-1978041094,UN1805,1978,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,13460.0
I-1978041375,UN1381,1978,UNION PACIFIC RR CO.,PHOSPHORUS WHITE OR YELLOW  IN WATER,0,17310.0
I-1978050338,UN1760,1978,CONSOLIDATED RAIL CORP(CONRAIL,CORROSIVE LIQUIDS  N.O.S.,0,4500.0
I-1978050345,UN1230,1978,UNION PACIFIC RR CO.,METHANOL,0,73998.0
I-1978050525,UN1805,1978,CHICAGO MILW ST PAUL & PAC RR,PHOSPHORIC ACID SOLUTION,0,24000.0
I-1978060006,NA1993,1978,ATCHESON TOPEKA & SANTA FE RY,FUEL OIL,0,1200.0
I-1978061267,UN1010,1978,SOUTHERN PAC TRANSPORTATION CO,BUTADIENES  STABILIZED OR BUTADIENES AND HYDROCARBON MIXTURE  STABILIZED CONTAINING MORE THAN 40% BUTADIENES,0,33500.0
I-1978061267,UN1280,1978,SOUTHERN PAC TRANSPORTATION CO,PROPYLENE OXIDE,0,28115.0
I-1978061267,UN1917,1978,SOUTHERN PAC TRANSPORTATION CO,ETHYL ACRYLATE  STABILIZED,0,21000.0
I-1978061267,UN2789,1978,SOUTHERN PAC TRANSPORTATION CO,ACETIC ACID  GLACIAL OR ACETIC ACID SOLUTION  WITH MORE THAN 80 PERCENT ACID  BY MASS,0,21080.0
I-1978061788,UN1090,1978,CONSOLIDATED RAIL CORP(CONRAIL,ACETONE,0,20000.0
I-1978070038,UN1863,1978,ST LOUIS-SAN FRANCISCO RY CO,FUEL  AVIATION  TURBINE ENGINE,0,19855.0
I-1978070043,UN1805,1978,SEABOARD COAST LINE RAILROAD,PHOSPHORIC ACID SOLUTION,0,12000.0
I-1978070064,UN1917,1978,SOUTHERN PAC TRANSPORTATION CO,ETHYL ACRYLATE  STABILIZED,0,3300.0
I-1978070067,UN1086,1978,SOUTHERN PAC TRANSPORTATION CO,VINYL CHLORIDE  INHIBITED OR VINYL CHLORIDE  STABILIZED,0,26114.0
I-1978070067,UN2056,1978,SOUTHERN PAC TRANSPORTATION CO,TETRAHYDROFURAN,0,43742.0
I-1978070409,UN1265,1978,CHICAGO MILW ST PAUL & PAC RR,N-PENTANES,0,10502.0
I-1978070410,UN1145,1978,CHICAGO MILW ST PAUL & PAC RR,CYCLOHEXANE,0,18198.0
I-1978071032,UN1789,1978,MISSOURI KANSAS TEXAS RAILROAD,HYDROCHLORIC ACID  SOLUTION,0,1519.0
I-1978071035,UN1005,1978,UNION PACIFIC RR CO.,AMMONIA ANHYDROUS,0,5000.0
I-1978071501,UN1987,1978,GEORGIA RR,ALCOHOLS  N.O.S.,0,5000.0
I-1978080002,UN1954,1978,BURLINGTON NORTHERN INC,COMPRESSED GAS  FLAMMABLE  N.O.S.,0,1187.0
I-1978080029,UN1993,1978,SOUTHERN RAILWAY SYSTEM,FLAMMABLE LIQUIDS  N.O.S.,0,11129.0
I-1978080290,UN1075,1978,BURLINGTON NORTHERN INC,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1491.0
I-1978080676,UN1805,1978,MISSOURI KANSAS TEXAS RAILROAD,PHOSPHORIC ACID SOLUTION,0,1200.0
I-1978081268,UN1075,1978,ILLINOIS TERMINAL RAILROAD CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,30000.0
I-1978090212,UN1203,1978,BANGOR & AROOSTOOK RR,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,5861.0
I-1978090404,UN1830,1978,SEABOARD COAST LINE RAILROAD,SULFURIC ACID,0,2100.0
I-1978090434,UN1830,1978,BURLINGTON NORTHERN INC,SULFURIC ACID,0,1500.0
I-1978090609,UN1830,1978,MISSOURI PACIFIC RAILROAD CO,SULFURIC ACID,0,5066.0
I-1978090781,UN1805,1978,BURLINGTON NORTHERN INC,PHOSPHORIC ACID SOLUTION,0,8365.0
I-1978091159,UN1267,1978,SOUTHERN PAC TRANSPORTATION CO,PETROLEUM CRUDE OIL,0,4345.0
I-1978091465,UN1789,1978,BALTIMORE & OHIO RR CO.,HYDROCHLORIC ACID  SOLUTION,0,3000.0
I-1978100379,UN1987,1978,BALTIMORE & OHIO RR CO.,ALCOHOLS  N.O.S.,0,29894.0
I-1978100754,UN1830,1978,BURLINGTON NORTHERN INC,SULFURIC ACID,0,15670.0
I-1978100780,UN1760,1978,CHICAGO MILW ST PAUL & PAC RR,CORROSIVE LIQUIDS  N.O.S.,0,8300.0
I-1978100781,UN1814,1978,CHESAPEAKE & OHIO RWY CO,POTASSIUM HYDROXIDE  SOLUTION,0,16000.0
I-1978100783,UN1223,1978,SEABOARD COAST LINE RAILROAD,KEROSENE,0,10062.0
I-1978100786,UN1010,1978,ATCHESON TOPEKA & SANTA FE RY,BUTADIENES  STABILIZED OR BUTADIENES AND HYDROCARBON MIXTURE  STABILIZED CONTAINING MORE THAN 40% BUTADIENES,0,1140.0
I-1978110033,UN1831,1978,LOUISVILLE & NASHVILLE RR,SULFURIC ACID  FUMING,0,4000.0
I-1978110034,UN1830,1978,LOUISVILLE & NASHVILLE RR,SULFURIC ACID,0,7200.0
I-1978110188,UN1504,1978,SOUTHERN RAILWAY SYSTEM,SODIUM PEROXIDE,0,2940.0
I-1978110508,UN1993,1978,SOUTHERN PAC TRANSPORTATION CO,FLAMMABLE LIQUIDS  N.O.S.,0,1060.0
I-1978110595,NA1993,1978,CHICAGO MILW ST PAUL & PAC RR,FUEL OIL,0,21800.0
I-1978110844,NA1993,1978,CHICAGO MILW ST PAUL & PAC RR,FUEL OIL,0,80000.0
I-1978111466,UN1247,1978,HOUSTON BELT & TERMINAL RWY,METHYL METHACRYLATE MONOMER  STABILIZED,0,20765.0
I-1978120139,UN1145,1978,ATCHESON TOPEKA & SANTA FE RY,CYCLOHEXANE,0,58205.0
I-1978120146,NA1993,1978,ATCHESON TOPEKA & SANTA FE RY,FUEL OIL  NO. 1  2  4  5  OR 6,0,6000.0
I-1978120565,UN1866,1978,SOUTHERN PAC TRANSPORTATION CO,RESIN SOLUTION  FLAMMABLE,0,10000.0
I-1978120567,UN1824,1978,SOUTHERN PAC TRANSPORTATION CO,SODIUM HYDROXIDE  SOLUTION,0,7000.0
I-1978120745,UN1075,1978,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,63778.0
I-1978120749,UN1255,1978,ATCHESON TOPEKA & SANTA FE RY,NAPHTHA  PETROLEUM,0,20000.0
I-1979010268,UN1715,1978,CONSOLIDATED RAIL CORP(CONRAIL,ACETIC ANHYDRIDE,0,10214.0
I-1979010275,UN1831,1978,LOUISVILLE & NASHVILLE RR,SULFURIC ACID  FUMING,0,12063.0
I-1979010276,UN1830,1978,LOUISVILLE & NASHVILLE RR,SULFURIC ACID,0,13494.0
I-1979010284,UN1906,1978,ST LOUIS-SAN FRANCISCO RY CO,SLUDGE ACID,0,3316.0
I-1979010331,NA1993,1978,BURLINGTON NORTHERN INC,FUEL OIL,0,23091.0
I-1979010685,UN1830,1979,ILLINOIS CENTRAL GULF RAILROAD,SULFURIC ACID,0,2500.0
I-1979010686,UN2821,1979,NORFOLK & WESTERN RAILWAY CO,PHENOL SOLUTIONS,0,19000.0
I-1979010687,UN1805,1978,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,6000.0
I-1979010700,UN1760,1978,SOUTHERN RAILWAY SYSTEM,CORROSIVE LIQUIDS  N.O.S.,0,36000.0
I-1979010704,UN1005,1978,SOO LINE RAILROAD CO,AMMONIA ANHYDROUS,0,31396.0
I-1979010705,UN1805,1978,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,14824.0
I-1979010721,UN1267,1978,CONSOLIDATED RAIL CORP(CONRAIL,PETROLEUM CRUDE OIL,0,3796.0
I-1979010722,UN1789,1979,CHICAGO & NORTHWESTERN TRAN CO,HYDROCHLORIC ACID  SOLUTION,0,4000.0
I-1979010726,UN1830,1978,UNION PACIFIC RR CO.,SULFURIC ACID,0,13600.0
I-1979020023,UN1814,1979,ILLINOIS CENTRAL GULF RAILROAD,POTASSIUM HYDROXIDE  SOLUTION,0,7500.0
I-1979020393,UN2553,1979,BELT RAILWAY CO OF CHICAGO,NAPHTHA,0,10000.0
I-1979020406,UN2582,1979,MISSOURI PACIFIC RAILROAD CO,FERRIC CHLORIDE  SOLUTION,0,6600.0
I-1979020407,UN1263,1979,MISSOURI PACIFIC RAILROAD CO,PAINT RELATED MATERIAL INCLUDING PAINT THINNING  DRYING  REMOVING  OR REDUCING COMPOUND,0,7000.0
I-1979020408,NA1993,1979,NORFOLK & WESTERN RAILWAY CO,FUEL OIL,0,2000.0
I-1979020413,UN1075,1979,UNION PACIFIC RR CO.,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1142.0
I-1979020538,NA1993,1979,BURLINGTON NORTHERN INC,FUEL OIL,0,16413.0
I-1979020540,UN1268,1979,CHICAGO MILW ST PAUL & PAC RR,PETROLEUM DISTILLATES  N.O.S. OR PETROLEUM PRODUCTS  N.O.S.,0,3000.0
I-1979020927,UN1294,1979,CHICAGO MILW ST PAUL & PAC RR,TOLUENE,0,10000.0
I-1979030270,UN1265,1979,ATCHESON TOPEKA & SANTA FE RY,N-PENTANES,0,6400.0
I-1979030272,UN1796,1979,BALTIMORE & OHIO RR CO.,NITRATING ACID MIXTURES WITH NOT MORE THAN 50 PERCENT NITRIC ACID,0,6200.0
I-1979030274,UN1267,1979,BALTIMORE & OHIO RR CO.,PETROLEUM CRUDE OIL,0,23196.0
I-1979030280,UN1824,1979,ELGIN JOLIET & EASTERN RY CO,SODIUM HYDROXIDE  SOLUTION,0,14300.0
I-1979030283,UN1917,1979,ILLINOIS CENTRAL GULF RAILROAD,ETHYL ACRYLATE  STABILIZED,0,20000.0
I-1979030287,UN1805,1979,SEABOARD COAST LINE RAILROAD,PHOSPHORIC ACID SOLUTION,0,14747.0
I-1979030290,UN1075,1979,SOUTHERN PAC TRANSPORTATION CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1570.0
I-1979030556,UN1778,1979,ALTON & SOUTHERN RAILWAY CO,FLUOROSILICIC ACID,0,10206.0
I-1979030562,UN1789,1979,CONSOLIDATED RAIL CORP(CONRAIL,HYDROCHLORIC ACID  SOLUTION,0,20000.0
I-1979030594,UN1814,1979,ILLINOIS CENTRAL GULF RAILROAD,POTASSIUM HYDROXIDE  SOLUTION,0,5000.0
I-1979030596,NA1993,1979,UNION PACIFIC RR CO.,FUEL OIL,0,18000.0
I-1979030828,UN1805,1979,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,4512.0
I-1979031511,UN1114,1979,NORFOLK & WESTERN RAILWAY CO,BENZENE,0,2500.0
I-1979040458,NA1993,1979,BURLINGTON NORTHERN INC,FUEL OIL,0,33400.0
I-1979040509,UN1805,1979,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,8006.0
I-1979040974,UN1805,1979,SEABOARD COAST LINE RAILROAD,PHOSPHORIC ACID SOLUTION,0,1286.0
I-1979041237,UN1993,1979,ATCHESON TOPEKA & SANTA FE RY,FLAMMABLE LIQUIDS  N.O.S.,0,3000.0
I-1979041258,UN1301,1979,SOUTHERN PAC TRANSPORTATION CO,VINYL ACETATE  STABILIZED,0,30076.0
I-1979050373,UN1230,1979,LOUISVILLE & NASHVILLE RR,METHANOL,0,30055.0
I-1979050374,UN1307,1979,LOUISVILLE & NASHVILLE RR,XYLENES,0,30164.0
I-1979050375,UN1005,1979,LOUISVILLE & NASHVILLE RR,AMMONIA ANHYDROUS,0,33628.0
I-1979050376,UN1005,1979,LOUISVILLE & NASHVILLE RR,AMMONIA ANHYDROUS,0,30797.0
I-1979050377,UN1005,1979,LOUISVILLE & NASHVILLE RR,AMMONIA ANHYDROUS,0,31284.0
I-1979050378,UN1017,1979,LOUISVILLE & NASHVILLE RR,CHLORINE,0,17440.0
I-1979050379,UN1090,1979,LOUISVILLE & NASHVILLE RR,ACETONE,0,16800.0
I-1979050380,UN1090,1979,LOUISVILLE & NASHVILLE RR,ACETONE,0,20755.0
I-1979050381,UN1090,1979,LOUISVILLE & NASHVILLE RR,ACETONE,0,20861.0
I-1979050394,UN1819,1979,SOUTHERN PAC TRANSPORTATION CO,SODIUM ALUMINATE  SOLUTION,0,10343.0
I-1979050576,UN1987,1979,SEABOARD COAST LINE RAILROAD,ALCOHOLS  N.O.S.,0,3000.0
I-1979060639,UN1987,1979,CONSOLIDATED RAIL CORP(CONRAIL,ALCOHOLS  N.O.S.,0,21000.0
I-1979061151,UN2055,1979,CHESAPEAKE & OHIO RWY CO,STYRENE MONOMER  STABILIZED,0,20000.0
I-1979061168,NA1993,1979,SOUTHERN PAC TRANSPORTATION CO,COMBUSTIBLE LIQUID  N.O.S.,0,10403.0
I-1979061189,UN1783,1979,SOUTHERN RAILWAY SYSTEM,HEXAMETHYLENEDIAMINE SOLUTION,0,15000.0
I-1979061207,UN1075,1979,UNION PACIFIC RR CO.,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,4545.0
I-1979061814,NA1993,1979,ILLINOIS CENTRAL GULF RAILROAD,COMBUSTIBLE LIQUID  N.O.S.,0,4391.0
I-1979061820,UN1760,1979,NORFOLK & WESTERN RAILWAY CO,CORROSIVE LIQUIDS  N.O.S.,0,24947.5
I-1979070451,NA1993,1979,ATCHESON TOPEKA & SANTA FE RY,FUEL OIL,0,1500.0
I-1979070982,NA1993,1979,ATCHESON TOPEKA & SANTA FE RY,FUEL OIL  NO. 1  2  4  5  OR 6,0,1220.0
I-1979070990,UN1789,1979,CHICAGO MILW ST PAUL & PAC RR,HYDROCHLORIC ACID  SOLUTION,0,5000.0
I-1979071303,UN1824,1979,CONSOLIDATED RAIL CORP(CONRAIL,SODIUM HYDROXIDE  SOLUTION,0,16000.0
I-1979080513,UN1866,1979,BURLINGTON NORTHERN INC,RESIN SOLUTION  FLAMMABLE,0,1265.0
I-1979080514,NA1993,1979,CONSOLIDATED RAIL CORP(CONRAIL,CREOSOTE  COAL TAR,0,12500.0
I-1979080515,UN1830,1979,CONSOLIDATED RAIL CORP(CONRAIL,SULFURIC ACID,0,5000.0
I-1979080516,NA1993,1979,ILLINOIS CENTRAL GULF RAILROAD,FUEL OIL  NO. 1  2  4  5  OR 6,0,4000.0
I-1979081511,NA1136,1979,CHESAPEAKE & OHIO RWY CO,COAL TAR LIGHT OIL,0,6000.0
I-1979081544,NA1993,1979,SOUTHERN RAILWAY SYSTEM,CREOSOTE  COAL TAR,0,10000.0
I-1979081909,UN1814,1979,CONSOLIDATED RAIL CORP(CONRAIL,POTASSIUM HYDROXIDE  SOLUTION,0,10000.0
I-1979090787,NA1993,1979,ILLINOIS CENTRAL GULF RAILROAD,FUEL OIL  NO. 1  2  4  5  OR 6,0,2100.0
I-1979090789,UN1805,1979,SEABOARD COAST LINE RAILROAD,PHOSPHORIC ACID SOLUTION,0,14000.0
I-1979091236,UN1789,1979,BALTIMORE & OHIO RR CO.,HYDROCHLORIC ACID  SOLUTION,0,1250.0
I-1979091254,UN1075,1979,SOUTHERN PAC TRANSPORTATION CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,2743.0
I-1979091962,UN1075,1979,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,2000.0
I-1979091989,UN1789,1979,CHICAGO MILW ST PAUL & PAC RR,HYDROCHLORIC ACID  SOLUTION,0,1508.0
I-1979091995,UN1198,1979,SEABOARD COAST LINE RAILROAD,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,23000.0
I-1979101176,UN1075,1979,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,5253.0
I-1979101199,NA1993,1979,CONSOLIDATED RAIL CORP(CONRAIL,FUEL OIL  NO. 1  2  4  5  OR 6,0,30000.0
I-1979101654,UN2187,1979,DELAWARE & HUDSON RAILWAY CO,CARBON DIOXIDE  REFRIGERATED LIQUID,0,10445.0
I-1979111264,UN1090,1979,ILLINOIS CENTRAL GULF RAILROAD,ACETONE,0,20000.0
I-1979111341,UN1010,1979,SOUTHERN PAC TRANSPORTATION CO,BUTADIENES  STABILIZED OR BUTADIENES AND HYDROCARBON MIXTURE  STABILIZED CONTAINING MORE THAN 40% BUTADIENES,0,33649.0
I-1979111341,UN1040,1979,SOUTHERN PAC TRANSPORTATION CO,ETHYLENE OXIDE OR ETHYLENE OXIDE WITH NITROGEN UP TO A TOTAL PRESSURE OF 1MPA (10 BAR) AT 50 DEGREES C,0,20759.0
I-1979111341,UN1052,1979,SOUTHERN PAC TRANSPORTATION CO,HYDROGEN FLUORIDE  ANHYDROUS,0,17442.0
I-1979111341,UN1089,1979,SOUTHERN PAC TRANSPORTATION CO,ACETALDEHYDE,0,83643.0
I-1979111341,UN1230,1979,SOUTHERN PAC TRANSPORTATION CO,METHANOL,0,20885.0
I-1979111341,UN1301,1979,SOUTHERN PAC TRANSPORTATION CO,VINYL ACETATE  STABILIZED,0,20895.0
I-1979111341,UN1917,1979,SOUTHERN PAC TRANSPORTATION CO,ETHYL ACRYLATE  STABILIZED,0,20976.0
I-1979111341,UN1954,1979,SOUTHERN PAC TRANSPORTATION CO,COMPRESSED GAS  FLAMMABLE  N.O.S.,0,11020.0
I-1979111341,UN2056,1979,SOUTHERN PAC TRANSPORTATION CO,TETRAHYDROFURAN,0,42718.0
I-1979120937,NA1760,1979,CONSOLIDATED RAIL CORP(CONRAIL,ACID  LIQUID  N.O.S.,0,10000.0
I-1979120937,NA1993,1979,CONSOLIDATED RAIL CORP(CONRAIL,SOLVENT  N.O.S.,0,5000.0
I-1979120937,UN1255,1979,CONSOLIDATED RAIL CORP(CONRAIL,NAPHTHA  PETROLEUM,0,5000.0
I-1979120937,UN1715,1979,CONSOLIDATED RAIL CORP(CONRAIL,ACETIC ANHYDRIDE,0,20000.0
I-1979120937,UN1917,1979,CONSOLIDATED RAIL CORP(CONRAIL,ETHYL ACRYLATE  STABILIZED,0,55000.0
I-1979120938,UN1043,1979,GEORGIA RR,FERTILIZER AMMONIATING SOLUTION WITH FREE AMMONIA,0,10216.0
I-1980010987,NA1993,1979,ATCHESON TOPEKA & SANTA FE RY,FUEL OIL,0,16197.0
I-1980010995,UN2810,1980,CONSOLIDATED RAIL CORP(CONRAIL,POISONOUS LIQUIDS  N.O.S.,0,20000.0
I-1980010996,UN1987,1980,CONSOLIDATED RAIL CORP(CONRAIL,ALCOHOLS  N.O.S.,0,2000.0
I-1980011000,UN1814,1979,CONSOLIDATED RAIL CORP(CONRAIL,POTASSIUM HYDROXIDE  SOLUTION,0,10000.0
I-1980011011,UN1814,1979,ILLINOIS CENTRAL GULF RAILROAD,POTASSIUM HYDROXIDE  SOLUTION,0,8000.0
I-1980011074,UN1075,1979,SOUTHERN RAILWAY SYSTEM,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1200.0
I-1980020197,NA1993,1980,SEABOARD COAST LINE RAILROAD,FUEL OIL,0,2716.0
I-1980020952,UN1824,1980,SOUTHERN RAILWAY SYSTEM,SODIUM HYDROXIDE  SOLUTION,0,10000.0
I-1980030384,NA1993,1980,BOSTON & MAINE CORP,FUEL OIL,0,1232.0
I-1980030386,UN1005,1980,BURLINGTON NORTHERN INC,AMMONIA ANHYDROUS,0,16000.0
I-1980030389,NA1993,1980,BURLINGTON NORTHERN INC,COMBUSTIBLE LIQUID  N.O.S.,0,2000.0
I-1980030391,UN1294,1980,CHICAGO ROCK ISLAND PAC RR CO,TOLUENE,0,3000.0
I-1980030402,UN1805,1980,LOUISVILLE & NASHVILLE RR,PHOSPHORIC ACID SOLUTION,0,14769.0
I-1980030890,NA1999,1980,BALTIMORE & OHIO RR CO.,ASPHALT  CUT BACK,0,3000.0
I-1980030891,UN1086,1980,CONSOLIDATED RAIL CORP(CONRAIL,VINYL CHLORIDE  INHIBITED OR VINYL CHLORIDE  STABILIZED,0,24765.0
I-1980030915,UN1987,1980,SOUTHERN PAC TRANSPORTATION CO,ALCOHOLS  N.O.S.,0,10298.0
I-1980041594,UN1255,1980,ATCHISON TOPEKA & SANTA FE RY,NAPHTHA  PETROLEUM,0,23914.0
I-1980041595,UN1255,1980,ATCHISON TOPEKA & SANTA FE RY,NAPHTHA  PETROLEUM,0,23500.0
I-1980041610,UN1213,1980,ATCHISON TOPEKA & SANTA FE RY,ISOBUTYL ACETATE,0,20250.0
I-1980041611,UN1987,1980,ATCHISON TOPEKA & SANTA FE RY,ALCOHOLS  N.O.S.,0,20987.0
I-1980041612,UN1993,1980,ATCHISON TOPEKA & SANTA FE RY,FLAMMABLE LIQUIDS  N.O.S.,0,30161.0
I-1980041615,NA1993,1980,BALTIMORE & OHIO RR CO.,FUEL OIL,0,22000.0
I-1980041620,UN2187,1980,BURLINGTON NORTHERN INC,CARBON DIOXIDE  REFRIGERATED LIQUID,0,18238.0
I-1980041628,UN1255,1980,CHICAGO MILW ST PAUL & PAC RR,NAPHTHA  PETROLEUM,0,2329.0
I-1980041632,UN1863,1980,CLINCHFIELD RR CO.,FUEL  AVIATION  TURBINE ENGINE,0,3500.0
I-1980041638,UN1993,1980,CONSOLIDATED RAIL CORP(CONRAIL,FLAMMABLE LIQUIDS  N.O.S.,0,6100.0
I-1980041649,NA1993,1980,CONSOLIDATED RAIL CORP(CONRAIL,SOLVENT  N.O.S.,0,20000.0
I-1980041662,UN1160,1980,KANSAS CITY SOUTHERN LINES,DIMETHYLAMINE SOLUTION,0,11900.0
I-1980041694,UN1275,1980,SOUTHERN RAILWAY SYSTEM,PROPIONALDEHYDE,0,1200.0
I-1980051106,NA1993,1980,ATCHESON TOPEKA & SANTA FE RY,FUEL OIL,0,7516.0
I-1980051125,NA1993,1980,CLINCHFIELD RR CO.,FUEL OIL,0,1070.0
I-1980051126,UN1078,1980,CONSOLIDATED RAIL CORP(CONRAIL,REFRIGERANT GASES  N.O.S.,0,23632.0
I-1980051140,UN1075,1980,GEORGIA RR,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,20000.0
I-1980051153,UN2821,1980,MANUFACTURERS RAILWAY CO,PHENOL SOLUTIONS,0,5000.0
I-1980061433,NA1993,1980,BURLINGTON NORTHERN INC,FUEL OIL,0,5500.0
I-1980061442,NA1993,1980,CHESAPEAKE & OHIO RWY CO,COMBUSTIBLE LIQUID  N.O.S.,0,2000.0
I-1980061480,UN2055,1980,KANSAS CITY SOUTHERN LINES,STYRENE MONOMER  STABILIZED,0,10000.0
I-1980061487,NA1270,1980,LOUISVILLE & NASHVILLE RR,PETROLEUM OIL,0,7000.0
